13:59:07:207 | 205 | CSIO1_TX CH10 | 60000085 | MACH_TRUE | Mach True: 0 | 00 (Always) | 03 (Normal)
13:59:07:207 | 205 | CSIO1_TX CH24 | 60000085 | MACH_TRUE | Mach True: 0 | 00 (Always) | 03 (Normal)
13:59:07:207 | 205 | CSIO1_TX CH26 | 60000085 | MACH_TRUE | Mach True: 0 | 00 (Always) | 03 (Normal)
13:59:07:207 | 241 | CSIO1_TX CH08 | 600000A1 | ANGLE_OF_ATTACK | AOA: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:207 | 241 | CSIO1_TX CH10 | 600000A1 | ANGLE_OF_ATTACK | AOA: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:207 | 241 | CSIO1_TX CH24 | 600000A1 | ANGLE_OF_ATTACK | AOA: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:207 | 241 | CSIO1_TX CH26 | 600000A1 | ANGLE_OF_ATTACK | AOA: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:208 | 325 | CSIO1_TX CH08 | 600000D5 | AIRCRAFT_ROLL_ANGLE | AC Body Roll Angle: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:208 | 325 | CSIO1_TX CH10 | 600000D5 | AIRCRAFT_ROLL_ANGLE | AC Body Roll Angle: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:208 | 325 | CSIO1_TX CH24 | 600000D5 | AIRCRAFT_ROLL_ANGLE | AC Body Roll Angle: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:208 | 325 | CSIO1_TX CH26 | 600000D5 | AIRCRAFT_ROLL_ANGLE | AC Body Roll Angle: 0 Degrees | 00 (Always) | 03 (Normal)
13:59:07:208 | 327 | CSIO1_TX CH08 | E00000D7 | AIRCRAFT_ROLL_ANGLE_RATE | AC Body Roll Angle Rate: 0 DegreesPerSecond | 00 (Always) | 03 (Normal)
13:59:07:208 | 327 | CSIO1_TX CH10 | E00000D7 | AIRCRAFT_ROLL_ANGLE_RATE | AC Body Roll Angle Rate: 0 DegreesPerSecond | 00 (Always) | 03 (Normal)
13:59:07:208 | 327 | CSIO1_TX CH24 | E00000D7 | AIRCRAFT_ROLL_ANGLE_RATE | AC Body Roll Angle Rate: 0 DegreesPerSecond | 00 (Always) | 03 (Normal)
13:59:07:208 | 327 | CSIO1_TX CH26 | E00000D7 | AIRCRAFT_ROLL_ANGLE_RATE | AC Body Roll Angle Rate: 0 DegreesPerSecond | 00 (Always) | 03 (Normal)
13:59:07:208 | 207 | CSIO1_TX CH08 | 60000187 | AIRSPEED_TREND_VECTOR | AS Trend Vector: 0 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:208 | 207 | CSIO1_TX CH10 | 60000187 | AIRSPEED_TREND_VECTOR | AS Trend Vector: 0 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:208 | 207 | CSIO1_TX CH24 | 60000187 | AIRSPEED_TREND_VECTOR | AS Trend Vector: 0 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:208 | 207 | CSIO1_TX CH26 | 60000187 | AIRSPEED_TREND_VECTOR | AS Trend Vector: 0 Knots | 01 (CoPilo) | 03 (Normal)
13:59:07:209 | 274 | CSIO1_TX CH08 | 000000BC | EGPWM_DISCRETE_1 | Gnd Prox Caution: False, Gnd Prox Warning: False, Terrain Caution: False, Terrain Warning: False, Windshear Caution: False, Windshear Warning: False | 00 (Always) | 00 (Normal)
13:59:07:209 | 274 | CSIO1_TX CH10 | 000000BC | EGPWM_DISCRETE_1 | Gnd Prox Caution: False, Gnd Prox Warning: False, Terrain Caution: False, Terrain Warning: False, Windshear Caution: False, Windshear Warning: False | 00 (Always) | 00 (Normal)
13:59:07:209 | 274 | CSIO1_TX CH24 | 000000BC | EGPWM_DISCRETE_1 | Gnd Prox Caution: False, Gnd Prox Warning: False, Terrain Caution: False, Terrain Warning: False, Windshear Caution: False, Windshear Warning: False | 00 (Always) | 00 (Normal)
13:59:07:209 | 274 | CSIO1_TX CH26 | 000000BC | EGPWM_DISCRETE_1 | Gnd Prox Caution: False, Gnd Prox Warning: False, Terrain Caution: False, Terrain Warning: False, Windshear Caution: False, Windshear Warning: False | 00 (Always) | 00 (Normal)
13:59:07:209 | 133 | CSIO1_TX CH08 | 6FA0005B | Auto Vert Integ Limit | Autonomous Vertical Integ Limit: 32000 Feet, Sign: False | 00 (Always) | 03 (Normal)
13:59:07:209 | 133 | CSIO1_TX CH10 | 6FA0005B | Auto Vert Integ Limit | Autonomous Vertical Integ Limit: 32000 Feet, Sign: False | 00 (Always) | 03 (Normal)
13:59:07:209 | 133 | CSIO1_TX CH24 | 6FA0005B | Auto Vert Integ Limit | Autonomous Vertical Integ Limit: 32000 Feet, Sign: False | 00 (Always) | 03 (Normal)
13:59:07:209 | 133 | CSIO1_TX CH26 | 6FA0005B | Auto Vert Integ Limit | Autonomous Vertical Integ Limit: 32000 Feet, Sign: False | 00 (Always) | 03 (Normal)
13:59:07:210 | 164 | CSIO1_TX CH08 | E3FF8174 | RADIO_ALTITUDE | Radio Alt: 2047 Feet | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 164 | CSIO1_TX CH10 | E3FF8174 | RADIO_ALTITUDE | Radio Alt: 2047 Feet | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 164 | CSIO1_TX CH24 | E3FF8174 | RADIO_ALTITUDE | Radio Alt: 2047 Feet | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 164 | CSIO1_TX CH26 | E3FF8174 | RADIO_ALTITUDE | Radio Alt: 2047 Feet | 01 (CoPilo) | 03 (Normal)
13:59:07:210 | 233 | CSIO1_TX CH08 | 64E2019B | MINIMUM_AIRSPEED_LIMIT | Min AS Limit: 250 Knots | 01 (CoPilo) | 03 (Normal)
